,AHMET ÇAKAR,ALİ SİRMEN,ATAOL BEHRAMOĞLU,ATİLLA DORSAY,AYKAN SEVER,AZİZ ÜSTEL,CAN ATAKLI,DENİZ GÖKÇE,EMRE KONGAR,GÖZDE BEDELOĞLU,HASAN PULUR,HİKMET ÇETİNKAYA,MEHMET ALİ BİRAND,MEHMET DEMİRKOL,MELTEM GÜRLE,MERYEM KORAY,MÜMTAZ SOYSAL,NAZAN BEKİROĞLU,NAZIM ALPMAN,NEDİM HAZAR,NEŞE YAŞIN,OKAY KARACAN,REHA MUHTAR,RIDVAN DİLMEN,RUHAT MENGİ,SELİM İLERİ,TARHAN ERDEM,UFUK BOZKIR,YAŞAR SEYMAN,ÖZGE BAŞAK TANELİ,Average
Precision,0.6875,0.6363636363636364,0.8181818181818182,0.7636363636363637,0.7213114754098361,0.8,0.40707964601769914,0.7205882352941176,0.9090909090909091,0.673469387755102,0.8823529411764706,0.7413793103448276,0.7230769230769231,0.9166666666666666,0.8490566037735849,0.5833333333333334,0.8809523809523809,0.9743589743589743,0.9565217391304348,0.9333333333333333,0.75,0.9090909090909091,0.7948717948717948,0.5384615384615384,0.5208333333333334,0.8166666666666667,0.8604651162790697,0.734375,0.9411764705882353,0.8611111111111112,0.7768435206099691
Recall,0.88,0.28,0.54,0.84,0.88,0.16,0.92,0.98,0.4,0.66,0.3,0.86,0.94,0.66,0.9,0.98,0.74,0.76,0.44,0.56,0.9,0.6,0.62,0.98,1.0,0.98,0.74,0.94,0.64,0.62,0.7233333333333334
F1-Score,0.7719298245614036,0.3888888888888889,0.6506024096385542,0.8000000000000002,0.7927927927927928,0.26666666666666666,0.5644171779141105,0.8305084745762712,0.5555555555555556,0.6666666666666666,0.44776119402985076,0.7962962962962963,0.8173913043478259,0.7674418604651163,0.8737864077669903,0.7313432835820894,0.8043478260869565,0.853932584269663,0.6027397260273973,0.7000000000000001,0.8181818181818182,0.7228915662650602,0.6966292134831461,0.6950354609929078,0.684931506849315,0.890909090909091,0.7956989247311828,0.8245614035087719,0.7619047619047621,0.7209302325581396,0.7098247639839096
