,AHMET ÇAKAR,ALİ SİRMEN,ATAOL BEHRAMOĞLU,ATİLLA DORSAY,AYKAN SEVER,AZİZ ÜSTEL,Average
Precision,0.7205882352941176,0.9459459459459459,0.9411764705882353,0.9411764705882353,0.6233766233766234,0.875,0.8412106242988596
Recall,0.98,0.7,0.96,0.96,0.96,0.28,0.8066666666666666
F1-Score,0.8305084745762712,0.8045977011494254,0.9504950495049505,0.9504950495049505,0.7559055118110236,0.42424242424242425,0.7860407017981741
